Blog post,1/1/0001 12:00:00 AM,is1103,2/11/2011 12:12:03 PM,,
Complete web design,1/1/0001 12:00:00 AM,cs2102,2/11/2011 12:09:55 PM,,
Do research,1/1/0001 12:00:00 AM,is1103,2/11/2011 12:04:24 PM,,
Refine Dev guide,1/1/0001 12:00:00 AM,cs2103T,2/11/2011 12:15:28 PM,,
Student feedback,1/1/0001 12:00:00 AM,misc,6/11/2011 6:28:37 PM,,http://www.nus.edu.sg/students/feedback.php
Think of progam for Ee Hui,1/1/0001 12:00:00 AM,misc,3/11/2011 12:19:42 AM,,
User guide,1/1/0001 12:00:00 AM,cs2103T,2/11/2011 12:07:50 PM,,
Write video demo script,1/1/0001 12:00:00 AM,cs2103T,2/11/2011 1:21:38 PM,,
Lab 5,11/12/2011 11:59:00 PM,cs3241,2/11/2011 1:15:32 PM,,
Teamwork self/peer rating,11/12/2011 11:59:00 PM,cs2101,4/11/2011 11:29:24 AM,,
Miniatures poster design,11/30/2011 11:59:00 PM,NUSSO,5/11/2011 11:19:00 AM,,
